epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,33213.7,1.09719,0.8292,1.01519,0.77841,0.77693,0.81141,0.59775,1.08059,0.63065,0.78858,0.00604,0.00604,0.00604
82,33634,1.09583,0.8267,1.009,0.78131,0.77302,0.81172,0.59727,1.08058,0.6303,0.78838,0.0059905,0.0059905,0.0059905
83,34054.2,1.08958,0.81928,1.00732,0.78447,0.7744,0.813,0.59918,1.08022,0.62975,0.78803,0.005941,0.005941,0.005941
84,34474.8,1.09037,0.82165,1.01272,0.78595,0.77403,0.81284,0.59824,1.07998,0.62953,0.78777,0.0058915,0.0058915,0.0058915
85,34895,1.09561,0.8219,1.01332,0.78025,0.77738,0.81295,0.59791,1.08016,0.62926,0.78748,0.005842,0.005842,0.005842
86,35315.5,1.08545,0.81422,1.01284,0.78087,0.77925,0.81316,0.59841,1.07972,0.6285,0.78743,0.0057925,0.0057925,0.0057925
87,35735.7,1.08912,0.82245,1.0106,0.7814,0.77828,0.81354,0.59882,1.07931,0.62817,0.7873,0.005743,0.005743,0.005743
88,36156.3,1.08809,0.82224,1.01497,0.77972,0.7818,0.81512,0.60048,1.07917,0.62752,0.78719,0.0056935,0.0056935,0.0056935
89,36576.6,1.0859,0.81507,1.0096,0.78393,0.78026,0.81609,0.60117,1.0789,0.62705,0.78703,0.005644,0.005644,0.005644
90,36997.3,1.0814,0.81297,1.01036,0.77805,0.78553,0.81604,0.60137,1.07818,0.62599,0.78662,0.0055945,0.0055945,0.0055945
91,37417.5,1.09361,0.82064,1.01307,0.78051,0.78265,0.81662,0.60155,1.07756,0.62526,0.78631,0.005545,0.005545,0.005545
92,37838,1.07699,0.80954,1.00673,0.78023,0.78243,0.81617,0.60185,1.07704,0.62464,0.78593,0.0054955,0.0054955,0.0054955
93,38258.2,1.07773,0.80705,1.0055,0.78144,0.78323,0.81662,0.60179,1.07645,0.62396,0.78555,0.005446,0.005446,0.005446
94,38678.8,1.07946,0.80331,1.01062,0.78287,0.78133,0.81603,0.60167,1.07582,0.62308,0.78548,0.0053965,0.0053965,0.0053965
95,39098.7,1.08047,0.80483,1.0092,0.78538,0.7801,0.81595,0.60168,1.07524,0.62224,0.78497,0.005347,0.005347,0.005347
96,39519,1.07557,0.798,1.00516,0.79225,0.77915,0.81624,0.60141,1.07507,0.62199,0.78474,0.0052975,0.0052975,0.0052975
97,39939,1.06862,0.80003,1.00693,0.78498,0.78184,0.8164,0.60188,1.07521,0.62114,0.78462,0.005248,0.005248,0.005248
98,40359.6,1.0668,0.7942,0.99807,0.7874,0.78182,0.81527,0.60188,1.07511,0.62071,0.78431,0.0051985,0.0051985,0.0051985
99,40779.8,1.07785,0.80338,1.00377,0.78913,0.78126,0.81553,0.60275,1.07474,0.6203,0.78438,0.005149,0.005149,0.005149
100,41200.2,1.07438,0.79306,1.00671,0.7874,0.78239,0.81657,0.60363,1.07444,0.61959,0.78413,0.0050995,0.0050995,0.0050995
101,41620.4,1.06623,0.7967,1.00636,0.78708,0.78241,0.81671,0.60369,1.07406,0.61922,0.78387,0.00505,0.00505,0.00505
102,42041.1,1.06376,0.78971,1.00081,0.7854,0.782,0.81705,0.60389,1.0735,0.6189,0.78354,0.0050005,0.0050005,0.0050005
103,42461.4,1.06886,0.78195,1.00236,0.78482,0.78466,0.8171,0.60441,1.07398,0.61854,0.78353,0.004951,0.004951,0.004951
104,42882,1.05875,0.78044,0.99584,0.78815,0.78334,0.82138,0.60503,1.07373,0.61758,0.7833,0.0049015,0.0049015,0.0049015
105,43302.6,1.05808,0.77581,1.00045,0.78655,0.78468,0.82217,0.6054,1.0735,0.61729,0.78324,0.004852,0.004852,0.004852
106,43723.2,1.06394,0.78796,0.99922,0.76758,0.80522,0.82366,0.60602,1.07345,0.61677,0.78318,0.0048025,0.0048025,0.0048025
107,44143.4,1.05988,0.7782,0.99849,0.76302,0.81328,0.8238,0.6061,1.073,0.6165,0.78301,0.004753,0.004753,0.004753
108,44563.8,1.06174,0.78507,1.00339,0.78061,0.78629,0.82241,0.60574,1.07307,0.61596,0.78276,0.0047035,0.0047035,0.0047035
109,44984.1,1.05631,0.78048,1.00026,0.76623,0.81106,0.82374,0.60621,1.07308,0.61532,0.78285,0.004654,0.004654,0.004654
110,45404.9,1.05573,0.76988,0.99624,0.77048,0.81056,0.82467,0.60712,1.07282,0.61468,0.78252,0.0046045,0.0046045,0.0046045
111,45825.2,1.06113,0.77578,0.99553,0.7686,0.81414,0.82465,0.60746,1.07224,0.61408,0.78226,0.004555,0.004555,0.004555
112,46246,1.05313,0.77261,0.99532,0.76772,0.81411,0.82464,0.60723,1.07209,0.61312,0.78226,0.0045055,0.0045055,0.0045055
113,46666.3,1.05944,0.77297,0.9932,0.77156,0.81294,0.82518,0.60768,1.07147,0.61259,0.78187,0.004456,0.004456,0.004456
114,47086.9,1.04586,0.76642,0.9963,0.76927,0.81372,0.82521,0.60832,1.07125,0.61191,0.78181,0.0044065,0.0044065,0.0044065
115,47507.1,1.04897,0.77102,0.99439,0.77043,0.81359,0.82511,0.60804,1.07146,0.61207,0.78198,0.004357,0.004357,0.004357
116,47927.3,1.0505,0.76533,0.99621,0.77387,0.81138,0.82509,0.60764,1.07123,0.61205,0.78188,0.0043075,0.0043075,0.0043075
117,48347.4,1.03504,0.75406,0.98886,0.77631,0.81024,0.82514,0.60762,1.07101,0.61167,0.7818,0.004258,0.004258,0.004258
118,48767.9,1.05558,0.76301,0.99364,0.77816,0.80862,0.82545,0.60888,1.07096,0.61112,0.78153,0.0042085,0.0042085,0.0042085
119,49188.3,1.04483,0.75467,0.99517,0.77773,0.80859,0.8252,0.60872,1.07102,0.61048,0.78158,0.004159,0.004159,0.004159
120,49608.8,1.04481,0.75562,0.99512,0.77752,0.80829,0.82576,0.61048,1.07087,0.61008,0.78143,0.0041095,0.0041095,0.0041095
121,50029.1,1.04388,0.75463,0.99299,0.78151,0.80181,0.82511,0.60976,1.0708,0.61,0.78142,0.00406,0.00406,0.00406
122,50449.7,1.04061,0.7455,0.98877,0.78214,0.80248,0.82521,0.60956,1.07079,0.60986,0.78112,0.0040105,0.0040105,0.0040105
123,50869.9,1.04202,0.75782,0.98934,0.78568,0.80194,0.825,0.61012,1.07107,0.60971,0.78091,0.003961,0.003961,0.003961
124,51290.4,1.0313,0.74541,0.98897,0.79439,0.79401,0.82519,0.60955,1.07097,0.60922,0.78092,0.0039115,0.0039115,0.0039115
125,51710.6,1.02594,0.7491,0.99033,0.79936,0.78962,0.82598,0.60949,1.07111,0.60903,0.78076,0.003862,0.003862,0.003862
126,52131.1,1.03591,0.74739,0.98978,0.79886,0.78828,0.82573,0.60902,1.07114,0.60887,0.78053,0.0038125,0.0038125,0.0038125
127,52551.5,1.03765,0.7376,0.98838,0.80032,0.78775,0.82593,0.61,1.07118,0.60846,0.78049,0.003763,0.003763,0.003763
128,52972,1.03124,0.7422,0.98857,0.80391,0.78978,0.82698,0.6111,1.07098,0.60832,0.78047,0.0037135,0.0037135,0.0037135
129,53392.4,1.02802,0.73687,0.98859,0.80353,0.79217,0.82621,0.61148,1.07123,0.608,0.78042,0.003664,0.003664,0.003664
130,53812.9,1.03874,0.74156,0.98613,0.80327,0.79242,0.82647,0.61148,1.07124,0.60749,0.78019,0.0036145,0.0036145,0.0036145
131,54233.3,1.02881,0.7415,0.98916,0.80431,0.7899,0.82696,0.61148,1.07142,0.60719,0.7804,0.003565,0.003565,0.003565
132,54653.8,1.02496,0.73881,0.98306,0.80576,0.78922,0.82646,0.61176,1.07172,0.60697,0.78036,0.0035155,0.0035155,0.0035155
133,55074.2,1.02198,0.7344,0.98456,0.80682,0.78683,0.82662,0.61193,1.07194,0.60644,0.78021,0.003466,0.003466,0.003466
134,55494.8,1.00931,0.72569,0.98498,0.80892,0.78651,0.8269,0.61255,1.07178,0.60613,0.77999,0.0034165,0.0034165,0.0034165
135,55915.3,1.02441,0.73489,0.98207,0.80912,0.79659,0.82908,0.61467,1.07201,0.60593,0.77987,0.003367,0.003367,0.003367
136,56335.7,1.00967,0.7204,0.98145,0.81041,0.79529,0.82945,0.61428,1.07246,0.60569,0.77957,0.0033175,0.0033175,0.0033175
137,56755.9,1.01521,0.72633,0.98414,0.80931,0.79142,0.82925,0.61393,1.07233,0.60571,0.7792,0.003268,0.003268,0.003268
138,57176.3,1.00812,0.71255,0.9756,0.80693,0.79196,0.82924,0.6133,1.07219,0.60538,0.77915,0.0032185,0.0032185,0.0032185
139,57596.8,1.01616,0.72285,0.98374,0.81083,0.79548,0.83004,0.6142,1.07203,0.60507,0.7791,0.003169,0.003169,0.003169
140,58017.3,1.0155,0.71983,0.97993,0.80875,0.79686,0.83034,0.61487,1.07124,0.60475,0.77845,0.0031195,0.0031195,0.0031195
141,58437.4,1.00698,0.71056,0.97952,0.80803,0.79576,0.83027,0.61469,1.07112,0.6047,0.77846,0.00307,0.00307,0.00307
142,58857.8,0.99978,0.70855,0.97794,0.80786,0.79516,0.83035,0.61438,1.07102,0.60405,0.7783,0.0030205,0.0030205,0.0030205
143,59278.2,1.01048,0.71286,0.97835,0.81055,0.79522,0.83032,0.61476,1.07023,0.60401,0.77803,0.002971,0.002971,0.002971
144,59698.7,1.01266,0.71661,0.9787,0.80756,0.79675,0.8302,0.61424,1.07068,0.60426,0.77829,0.0029215,0.0029215,0.0029215
145,60119.2,1.00546,0.71056,0.97973,0.80672,0.79477,0.83257,0.61471,1.07065,0.60382,0.77845,0.002872,0.002872,0.002872
146,60539.8,1.0036,0.70678,0.97866,0.8032,0.79428,0.83268,0.61525,1.07068,0.60381,0.77842,0.0028225,0.0028225,0.0028225
147,60960.1,0.99868,0.70034,0.97789,0.80235,0.7944,0.83256,0.61573,1.07028,0.60348,0.77823,0.002773,0.002773,0.002773
148,61380.7,0.99329,0.69959,0.97331,0.80206,0.79437,0.83028,0.61262,1.07049,0.60323,0.77828,0.0027235,0.0027235,0.0027235
149,61801.1,1.00097,0.69948,0.97746,0.80061,0.7949,0.83046,0.61341,1.07066,0.6034,0.77856,0.002674,0.002674,0.002674
150,62221.9,0.99058,0.70015,0.9717,0.80217,0.79437,0.83054,0.61333,1.07076,0.60278,0.77864,0.0026245,0.0026245,0.0026245
151,62642.4,0.9868,0.6916,0.97032,0.80159,0.79943,0.83144,0.61454,1.07118,0.60253,0.77878,0.002575,0.002575,0.002575
152,63063.2,0.98657,0.68808,0.97096,0.8014,0.79915,0.83107,0.61427,1.07097,0.60215,0.7788,0.0025255,0.0025255,0.0025255
153,63483.6,0.98798,0.69485,0.97122,0.80001,0.80024,0.8313,0.61501,1.07086,0.60212,0.77885,0.002476,0.002476,0.002476
154,63904.2,0.98355,0.68345,0.96847,0.79499,0.80276,0.8318,0.6157,1.07104,0.60198,0.7789,0.0024265,0.0024265,0.0024265
