epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,267.576,0.98592,0.65335,1.00908,0.8365,0.53425,0.59536,0.36577,1.46518,1.44984,1.31088,0.0014456,0.0014456,0.0014456
58,272.017,0.98745,0.64927,1.03061,0.89247,0.58904,0.69732,0.39461,1.58177,1.32848,1.35157,0.0014357,0.0014357,0.0014357
59,276.319,0.98459,0.64246,1.02487,0.83332,0.54788,0.62013,0.32024,1.71493,1.52335,1.47377,0.0014258,0.0014258,0.0014258
60,280.627,0.99759,0.64267,1.02828,0.73729,0.49315,0.52578,0.28026,1.82906,2.02467,1.52079,0.0014159,0.0014159,0.0014159
61,285.029,0.99849,0.64453,1.03769,0.77836,0.56164,0.60995,0.33544,1.68879,1.7456,1.40215,0.001406,0.001406,0.001406
62,289.464,0.99476,0.65233,1.03341,0.79037,0.64384,0.64874,0.35767,1.80234,1.38432,1.46805,0.0013961,0.0013961,0.0013961
63,293.759,0.96018,0.62216,1.0222,0.77385,0.53425,0.63144,0.35978,1.54447,1.43201,1.3294,0.0013862,0.0013862,0.0013862
64,298.14,0.98026,0.65572,1.03596,0.79459,0.52997,0.56392,0.32644,1.52667,1.57103,1.28401,0.0013763,0.0013763,0.0013763
65,302.443,0.9697,0.61349,1.01891,0.56627,0.57233,0.5273,0.31865,1.60358,1.60931,1.3653,0.0013664,0.0013664,0.0013664
66,306.863,0.99238,0.63318,1.03468,0.78792,0.49315,0.58135,0.3413,1.72561,1.83819,1.46455,0.0013565,0.0013565,0.0013565
67,311.321,0.96282,0.60935,1.01975,0.92042,0.47541,0.61129,0.37232,1.6119,1.46916,1.31377,0.0013466,0.0013466,0.0013466
68,315.63,0.9454,0.61618,1.00277,0.75213,0.53425,0.61349,0.38222,1.56754,1.47927,1.34753,0.0013367,0.0013367,0.0013367
69,319.959,0.96674,0.62994,1.03479,0.8026,0.50134,0.57909,0.30619,1.80091,1.67715,1.52964,0.0013268,0.0013268,0.0013268
70,324.329,1.0087,0.63504,1.01879,0.73652,0.50685,0.59953,0.33416,1.77685,1.6519,1.46867,0.0013169,0.0013169,0.0013169
