epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,13154.4,1.44532,0.88647,1.19216,0.75493,0.66177,0.70993,0.38354,1.37138,0.7994,1.18241,0.0070795,0.0070795,0.0070795
61,13290.4,1.43523,0.8784,1.18996,0.75591,0.66144,0.70982,0.38328,1.37317,0.79876,1.18177,0.00703,0.00703,0.00703
62,13424.6,1.43969,0.87463,1.18645,0.75585,0.6621,0.71056,0.38402,1.37256,0.79871,1.18053,0.0069805,0.0069805,0.0069805
63,13553.1,1.43264,0.87534,1.1852,0.75585,0.66429,0.71162,0.38452,1.37249,0.798,1.17988,0.006931,0.006931,0.006931
64,13710,1.44241,0.87259,1.1826,0.75646,0.66466,0.71159,0.3845,1.37301,0.7967,1.17888,0.0068815,0.0068815,0.0068815
65,14058.1,1.43398,0.86513,1.17666,0.75613,0.66669,0.71312,0.38494,1.37287,0.79623,1.17795,0.006832,0.006832,0.006832
66,14215.9,1.41802,0.85837,1.17535,0.75715,0.66822,0.71275,0.38506,1.37223,0.79556,1.17719,0.0067825,0.0067825,0.0067825
67,14449.4,1.43498,0.86461,1.18077,0.75788,0.66853,0.71304,0.38566,1.37255,0.79445,1.17675,0.006733,0.006733,0.006733
68,14609.2,1.41459,0.85063,1.17172,0.75911,0.6678,0.71293,0.38582,1.37267,0.79341,1.17605,0.0066835,0.0066835,0.0066835
69,14774.1,1.42204,0.85984,1.17454,0.75794,0.669,0.71331,0.38593,1.3732,0.79283,1.17559,0.006634,0.006634,0.006634
70,14933.6,1.43197,0.8574,1.16743,0.75825,0.67067,0.71353,0.38598,1.37318,0.79166,1.1754,0.0065845,0.0065845,0.0065845
71,15064.3,1.40184,0.85094,1.16625,0.75774,0.67179,0.71354,0.38611,1.37417,0.79073,1.1753,0.006535,0.006535,0.006535
72,15202.5,1.41993,0.85479,1.16702,0.75861,0.6729,0.71384,0.38611,1.37409,0.78984,1.17509,0.0064855,0.0064855,0.0064855
73,15329.6,1.41425,0.84534,1.16239,0.75808,0.67234,0.71432,0.3866,1.37419,0.78893,1.17437,0.006436,0.006436,0.006436
74,15478.8,1.41122,0.84409,1.16314,0.75849,0.67355,0.71544,0.38686,1.37427,0.78824,1.1744,0.0063865,0.0063865,0.0063865
75,15616.4,1.40663,0.83185,1.16319,0.75972,0.67557,0.7163,0.38733,1.37505,0.78759,1.17423,0.006337,0.006337,0.006337
76,15731.4,1.41591,0.84631,1.16123,0.76084,0.67522,0.71644,0.38755,1.37557,0.78704,1.17425,0.0062875,0.0062875,0.0062875
77,15852.2,1.4012,0.83268,1.15753,0.76122,0.67479,0.71638,0.38798,1.37577,0.7867,1.17413,0.006238,0.006238,0.006238
78,17034.4,1.40107,0.83466,1.15876,0.76235,0.67477,0.71661,0.38818,1.37528,0.78632,1.17338,0.0061885,0.0061885,0.0061885
79,17167.7,1.38833,0.82097,1.14905,0.76325,0.67527,0.7168,0.38824,1.3754,0.7855,1.17284,0.006139,0.006139,0.006139
80,17424.8,1.405,0.82792,1.15788,0.76562,0.67476,0.71732,0.38869,1.37588,0.7841,1.17252,0.0060895,0.0060895,0.0060895
81,17584.6,1.3844,0.81963,1.15097,0.76526,0.67679,0.71837,0.38919,1.3762,0.78289,1.17219,0.00604,0.00604,0.00604
82,17895.4,1.39927,0.82287,1.15038,0.76575,0.67672,0.719,0.38944,1.37546,0.78172,1.17136,0.0059905,0.0059905,0.0059905
83,18055.8,1.39241,0.81727,1.15422,0.76682,0.67757,0.72016,0.3899,1.37532,0.78048,1.17115,0.005941,0.005941,0.005941
84,18206.7,1.39825,0.81863,1.14804,0.76813,0.67694,0.7205,0.39025,1.37525,0.77974,1.1702,0.0058915,0.0058915,0.0058915
85,18347.2,1.39535,0.81167,1.1505,0.7693,0.67694,0.72057,0.39063,1.37508,0.77816,1.16988,0.005842,0.005842,0.005842
86,18493.2,1.38415,0.80587,1.14732,0.77001,0.67744,0.72093,0.39104,1.37507,0.77711,1.16972,0.0057925,0.0057925,0.0057925
87,18662.1,1.38997,0.81405,1.14203,0.77138,0.67679,0.72126,0.39125,1.37421,0.77587,1.16893,0.005743,0.005743,0.005743
88,18788.9,1.37161,0.80245,1.14361,0.76952,0.67852,0.72214,0.39184,1.37373,0.77544,1.1682,0.0056935,0.0056935,0.0056935
89,18944.5,1.3796,0.80493,1.14182,0.77089,0.67913,0.72375,0.39202,1.37333,0.77421,1.16773,0.005644,0.005644,0.005644
90,19176.2,1.3736,0.80201,1.1409,0.77184,0.67807,0.72331,0.39216,1.37292,0.77336,1.1671,0.0055945,0.0055945,0.0055945
91,19304.1,1.37581,0.79597,1.13844,0.7724,0.6778,0.72326,0.39242,1.37324,0.77254,1.1667,0.005545,0.005545,0.005545
92,19447.2,1.37729,0.79888,1.14162,0.77277,0.67869,0.72387,0.39274,1.37266,0.77155,1.16631,0.0054955,0.0054955,0.0054955
93,19632.2,1.36012,0.79126,1.13695,0.77343,0.67931,0.72368,0.39278,1.37267,0.7711,1.16589,0.005446,0.005446,0.005446
94,19751.6,1.3686,0.78603,1.13334,0.77522,0.67864,0.72397,0.39301,1.37299,0.76993,1.16549,0.0053965,0.0053965,0.0053965
95,19910.8,1.35712,0.78643,1.13244,0.77382,0.68024,0.724,0.39309,1.37329,0.76941,1.16507,0.005347,0.005347,0.005347
96,20050.7,1.37033,0.78868,1.13061,0.77341,0.68047,0.72462,0.39331,1.37303,0.76841,1.16477,0.0052975,0.0052975,0.0052975
97,20211.8,1.36071,0.77916,1.13315,0.77429,0.67991,0.72523,0.39373,1.37289,0.76789,1.1645,0.005248,0.005248,0.005248
98,20356.3,1.36272,0.78229,1.12901,0.77362,0.68079,0.72558,0.39424,1.37237,0.7675,1.16389,0.0051985,0.0051985,0.0051985
99,20507.5,1.34365,0.77441,1.12448,0.77463,0.68091,0.7263,0.39453,1.37254,0.76653,1.1637,0.005149,0.005149,0.005149
100,21028.5,1.35644,0.77893,1.12769,0.77472,0.68091,0.72535,0.39435,1.37223,0.76574,1.16315,0.0050995,0.0050995,0.0050995
101,21258.8,1.34734,0.77136,1.12376,0.77516,0.68147,0.72544,0.39483,1.37147,0.76523,1.16224,0.00505,0.00505,0.00505
102,21414.5,1.34883,0.77249,1.12439,0.77593,0.6818,0.72615,0.39523,1.3709,0.76384,1.16175,0.0050005,0.0050005,0.0050005
103,21550.6,1.35126,0.77062,1.12476,0.77613,0.68298,0.7264,0.39559,1.3709,0.76263,1.16118,0.004951,0.004951,0.004951
104,21709.1,1.34052,0.76644,1.12032,0.77703,0.68425,0.72725,0.39589,1.37072,0.76142,1.16064,0.0049015,0.0049015,0.0049015
105,21842.4,1.34663,0.76452,1.12239,0.77726,0.68394,0.72754,0.39655,1.3706,0.76039,1.16028,0.004852,0.004852,0.004852
106,22008,1.32705,0.75882,1.1203,0.7777,0.68381,0.72733,0.39665,1.37012,0.75915,1.15963,0.0048025,0.0048025,0.0048025
107,22144.8,1.33175,0.75366,1.11371,0.7769,0.68258,0.72729,0.39712,1.37012,0.75839,1.15936,0.004753,0.004753,0.004753
108,22294.5,1.34941,0.76038,1.12107,0.77837,0.6837,0.72818,0.39739,1.36985,0.75771,1.15901,0.0047035,0.0047035,0.0047035
109,22455.6,1.3286,0.75032,1.11494,0.77983,0.68275,0.729,0.39782,1.36895,0.75689,1.15839,0.004654,0.004654,0.004654
110,22553.9,1.33554,0.75664,1.11466,0.78045,0.68247,0.72914,0.39839,1.3691,0.7564,1.15831,0.0046045,0.0046045,0.0046045
111,22704,1.3219,0.74934,1.11544,0.78121,0.68314,0.73016,0.39863,1.36914,0.75576,1.15799,0.004555,0.004555,0.004555
112,22988.5,1.32108,0.74463,1.10891,0.7823,0.68269,0.7301,0.39909,1.36936,0.75518,1.1574,0.0045055,0.0045055,0.0045055
113,23305,1.32532,0.74555,1.11321,0.7818,0.6837,0.73017,0.39939,1.36993,0.75451,1.15752,0.004456,0.004456,0.004456
114,23421.7,1.32941,0.7443,1.11415,0.78182,0.68476,0.73064,0.39988,1.37028,0.75398,1.15769,0.0044065,0.0044065,0.0044065
115,23586.8,1.32012,0.74326,1.1099,0.78241,0.68716,0.73112,0.40015,1.3703,0.75324,1.15769,0.004357,0.004357,0.004357
